,Q,A
0,남자친구가 의심해,거짓말 적당히 하세요.
1,술자리에서 그만 마시라고 해주는 짝녀 무슨 뜻일까요?,걱정을 하고 있을지도 몰라요.
2,확실히 좋아하는 데도 관심 있는거 티 안내려고 선톡 안하고 일부러 늦게 보내고 그러는 사람도 있어요?,많이 있어요.
3,괜찮은게 아닌가봐,안 괜찮아도 돼요.
4,너덜너덜해진 느낌이야,자신을 우선순위로 해주세요.
5,내가 좋아하는 가수 컴백한다,기다렸나봐요.
6,이별한지 꽤 오래되었는데 연락이 왔네,그분에게 심경 변화가 있었나봅니다.
7,정말 구제불능에 멍청이 인가봐,자책하지 말아요.
8,모든 걸 다 주니까 떠난다는 그 남자,잘해준 게 독이 되었을 수도 있어요.
9,만나서 고백할걸,후회는 후회를 낳을뿐이에요. 용기 내세요.
10,퇴근길에.,마주쳤나봅니다.
11,친구가 소심해,더 신경써 주세요.
12,언니랑 전쟁 중,싸우면서 정 들 거예요.
13,온종일 멍하네,이런 날 더욱 적적하지요.
14,짝남이랑 카톡한거 다시 쭉 읽어 봤는데 거의 나만 질문함.,상대분이 관심이 덜 할 수도 있겠어요.
15,여친 쌩얼보고 깜놀했어,거울 보고 이야기해주세요.
16,이별 하는 중,좋은 마무리하길 바랍니다.
17,오늘도 힘들다,지금은 힘들겠지만 조금만 더 견뎌봐요.
18,사랑하면 안되는데 사랑하고 있어,어쩔 수가 없네요.
19,정리가 도저히안됩니다지금도 그여자집앞,무작정 찾아가는 것은 실례에요.
20,뭔 상황인지 헷갈리네.,애매하긴 해요.
21,남자들은 여자가 자기 좋아하는 거 알게 되면 어떻게 해? 싫지 않다면 받아줘?,그분도 좋아한다면 받아줄 거예요.
22,바라는게 없어,살다보면 하고 싶은 게 생길 수도 있어요.
23,좋아하는 여자 때문에 너무 심각해요.,여유를 갖고 생각해보세요.
24,나 왜 사랑해?,당신이니까요.
25,내가 이 사람을 사랑하는 건가?,자꾸 생각난다면 그럴 거예요.
26,짝남이 독서가 취미라는데 무슨 책을 선물해줄까?,먼저 읽어보고 좋은 책 선물하는게 이야기하는 데에 좋을 거예요.
27,하 끝나는 건가,끝을 생각한 순간 끝인 거예요.
28,좋아하는 거랑 사랑하는 건 어떻게 구분해?,구분짓는게 쉽진 않아요.
29,연인끼리 같이 샤워해?,사람마다 다릅니다.
30,대학원 가는게 좋을 것 같아,꿈에 도전하는 건 좋은 거라고 들었어요.
31,지가 피해자래,분명한 잘못이네요.
32,첫사랑 다시 만나도 사랑할 수 있을까?,다시 만나는 건 환상을 깨는 일이에요.
33,말을 예쁘게 하면 좋으련만,말 잘하는 사람들 따라 연습해보세요.
34,못생긴 여자를 좋아하는 남자가 있을까?,외모만 중요한 시대는 끝났습니다.
35,정말 왜 이러는걸까,사람 마음은 알기 어렵죠.
36,남친이 내 사진 프사로 안해.,각자의 프라이버시니까 이해해주세요.
37,오늘은 결재가 나야 할텐데,그럴 수 있을 거예요.
38,놀이공원 알바 재밌대,특별한 경험이 될 것 같아요.
39,이상하게 이 친구한테는 집착하게 된다,자신 스스로에게 의지해보세요.
40,짝사랑 하던 사람이랑 썸 타고 싶어.,먼저 연락해보는 것도 좋을 것 같습니다.
41,여자친구가 변해가는거 같아.,변하는 모습을 지켜보는 게 힘들겠어요.
42,또 전화 안받아,조금 기다리면 풀릴 거예요
43,물건들 버려야지,버리는게 후련할지도 몰라요.
44,이젠 어떡해얄지 모르겠어,일기를 써보세요.
45,정신차리고 싶어,다른 사람의 삶에 한눈팔며 살기에는 자신의 인생이 너무나도 소중합니다.
46,나 어떡하나,무슨 일인지 말해주세요.
47,울적한 아침이에,따뜻한 밥 먹고 힘내봐요.
48,휴가 고고,푹 쉬고 오세요.
49,헥헥 더워,사람 그렇게 쉽게 죽지 않아요.
50,먼저 인사하려고 했는데 짝남이 먼저 인사해줬어.,더 떨렸겠어요.
51,방법이 없는걸까?,마음 먹기 달려있어요.
52,면세에서 뭐 사지,제 선물 사오세요.
53,우리모두 마음의여유를 가져봐,마음의 여유가 생기면 새로운 출발을 하기도 좋을 거예요.
54,장수 커풀의 이별,함께한 시간 만큼 더 힘들죠.
55,한 달 동안 잊으려고 노력해보라네,다른 사람으로 잊혀지기도 해요.
56,제가 먼저 파혼 하자고 매달리고 있습니다,본인의 선택이라면 존중합니다.
57,남자친구가 이벤트를 잘 안해줘,당신이 해보세요.
